idbel_white,fullname_white,belrating_white,result,idbel_black,fullname_black,belrating_black
21127,"Polin, Giulia",1792,0-1,17696,"Naudin, Yvan",1877
71137,"Drossart, Jonathan",1743,1-0,11450,"Petralia, Fabio",1663
11412,"Tomme, Lowie",2136,½-½,16179,"Plomp, Micha",2150
30732,"Achtergaele, Koen",2055,1-0,876,"De Schepper, Bart",1932
19023,"Dewever, Niel",1776,½-½,10184,"Thienpondt, Mardoek",2033
40568,"Willen, Benny",2013,1-0,50679,"Pollet, Pepijn",1873
65978,"Bossuyt, Herman",1692,0-1,13352,"Vanacker, Jeroen",1689
27417,"Gijsbers, Bert",0,1-0,24807,"Michonski, Konrad",1474
14374,"Aït Chaouche, Samy",2099,1-0 FF,36277,"Larsen, Harald",1976
12523,"Piceu, Jarid",1947,½-½,17786,"Gozzoli, Cyrille",2092
25009,"Nguyen, Noam",1970,½-½,18195,"Dutré, Wonder",1906
19360,"Van Coppenolle, Lander",1885,1-0,79316,"Hias, Ludovic",2043
13586,"Marciniak, Marcel",1880,½-½,10004,"Pu, Linden",1904
34037,"De Bisscop, Maxim",1839,1-0,81523,"Hannecart, Marc",1797
14231,"Theunissen, Kris",2061,½-½,81604,"Guion, Geoffrey",1997
69744,"Andre, Damien",1964,0-1,44041,"Grecuccio, Nicola",2141
10474,"De Coninck, Erik",2036,0-1,18009,"Piraprez, Charles",1824
22694,"Vansilliette, Louis",1650,1-0,31879,"Kocur, Johan",1989
35645,"Cornelius, Jörg",1949,1-0,45641,"Mathieu, Alfred",1621
21048,"Van Brussel, Thomas",1307,1-0,48259,"Cillen, Jeroen",1823
56359,"Fogel, Pierre",2073,0-1,15064,"Paes, Martijn",1883
16154,"Peeters, Alex",1881,0-1,95052,"Zamparo, Sergio",2007
97730,"Leemans, Roland",1974,1-0,19723,"Wambecq, Ward",1636
5207,"Heremans, Dries",1755,0-1,50003,"Kolp, Théo",1986
75701,"D'Haijère, Arnaud",1895,½-½,25607,"Wambecq, Sven",1636
10697,"Rits, Beere",1524,1-0,60676,"Rittelmeyer, Yann-Sven",1737
91308,"Hautot, Stéphane",2358,½-½,51837,"Philipsen, Mathias",2234
11221,"Tuerlinckx, Ben",2018,0-1,98663,"Roeder, Matthias",2334
19783,"Gikas, Andreas Basilius",2120,½-½,13330,"Marx, Nicolas",1920
14123,"Hoffmann, Ruben",1896,0-1,19838,"Jansen, Dirk Norbert",2098
10721,"Seibt, Friedebert",1971,1-0,10407,"Bleuzé, Kobe",1876
18503,"Maes, Chris",1804,½-½,14158,"Bode, Dorel-Ion",1887
91553,"Belva, Frédéric",1893,½-½,93815,"Ahn, Martin",2190
17012,"Ahn, Maximilian",1617,½-½,85456,"Dublet, Emilien",1864
92720,"Dumont, Vincent",1740,½-½,15454,"Ahn, Anastasia",1592
19109,"Heiligtag, Matthias",1701,1-0,65722,"Piron, Jean-Marie",1655
10716,"Onbelet, Steve",1646,½-½,16649,"Kauschanski, Nicolas",1384
24868,"Weber, Peter",1339,½-½,68098,"Dubois, Théo",1602
10775,"Juegel, Marcel",2164,0-1,16874,"Van Der Weij, Anton",2099
21771,"Leonel, Davi",1910,0-1,97641,"Vanstreels, Luk",2148
95443,"Gohla, Ulf",2098,1-0,23637,"Nguyen, Khoi",1910
7587,"Van Hul, Christiaan",1963,0-1,13201,"Hammers, Michael",1949
10777,"Jansen, Peter",1871,0-1,8613,"Slootmaekers, Romain",1957
55875,"Hoogstijns, Raf",1995,½-½,10750,"Raygrotzki, Norbert",1838
22370,"Battistelli, Fausto",1885,½-½,60264,"Ancion, Mérowig",2027
14104,"Terwagne, Bertrand",1890,½-½,37176,"Timmermans, Daniel",1817
